seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1
308,11 6 19 17 3 13 7 18 9 5 12 4 10 14 16 0 15 1 8 2,2.6586036881725626e-05,0.0002797365439318782,0.0001503590312728764,0.00014172533392188872,1.2034127361145648e-06,6.502430356164837e-05,2.5438201427954543e-05,2.5867637697369118e-05,0.18968272832381516,1.333027517481436,0.7526067028690259,0.8306726720317791
700,13 11 12 18 9 5 19 1 4 15 16 14 2 0 6 10 8 3 17 7,2.809783368910179e-05,0.0002734998244131507,0.00012216092900681945,0.00011820574242027418,1.364448830858904e-06,6.136921198893568e-05,2.111611804441381e-05,2.2229006132604417e-05,0.19047535551287495,1.1836025430232702,0.728500695610845,0.8263623118481315
634,10 13 7 9 6 4 1 2 17 11 8 19 14 3 5 12 15 16 18 0,2.847080476059346e-05,0.0003341858144921022,0.00013955592697915086,0.00014817351916637434,1.263526840547065e-06,6.728133725923284e-05,2.3607919481742e-05,2.7345236565575776e-05,0.1887304539097785,1.1579112150297382,0.7394825348757318,0.7686495169286004
635,1 17 13 14 12 4 6 9 2 16 11 7 5 10 8 0 3 18 19 15,3.2994981391631036e-05,0.00028824426651206144,0.000132032476826788,0.00012524793372591968,1.3351935628765032e-06,6.477976229063082e-05,2.505273041991324e-05,2.030024493160398e-05,0.17890692713028888,1.2570236064760414,0.7283150306942276,0.7879485432911749
636,18 3 4 1 11 12 9 2 17 0 13 5 8 10 6 14 19 7 15 16,2.5495602344341183e-05,0.0002930349829213009,0.00012164921392659028,0.0001312378914272677,1.0274653586681568e-06,6.31057984793017e-05,2.3074214158215223e-05,2.2524112709628035e-05,0.17816889781215836,1.3447000196934071,0.7862880604829694,0.8143775618619499
637,17 18 15 10 7 12 11 4 9 16 6 19 0 8 1 2 5 13 14 3,2.533879575269564e-05,0.00031110554904457445,0.00013162231102857756,0.0001371345104244205,1.0802060758744838e-06,6.65114080521079e-05,2.0749797074221625e-05,2.222177909529326e-05,0.18254174652929947,1.2513394243009435,0.7369109630452356,0.7686621333571311
638,11 13 18 10 19 17 16 6 15 3 9 0 2 1 5 8 14 7 4 12,2.6129197791016963e-05,0.00028496615473419355,0.0001459202132138519,0.00013304338413551903,1.1500530082127217e-06,6.549836948181228e-05,2.447602624300228e-05,2.630599949235595e-05,0.19107430019802632,1.3498592997373269,0.7886583618590398,0.844076607323741
639,8 2 16 14 0 3 6 11 5 4 17 9 12 15 19 18 7 10 1 13,3.0107960192380143e-05,0.0002839060264447205,0.00015133600876108855,0.0001369306208224058,1.1375638381906237e-06,6.348716141354877e-05,2.5775431752420064e-05,2.739905065825701e-05,0.17675845491256467,1.1507518483379158,0.7228901550761552,0.8496988776909123
640,19 2 8 7 9 12 4 1 11 10 18 6 16 15 0 14 13 3 5 17,2.5323749669992433e-05,0.00030464779207759694,0.00013036193432042965,0.00014955805259136585,9.787490219251183e-07,6.496614357357458e-05,2.34155219991561e-05,2.4169819916818635e-05,0.16905691264564912,1.282057050414222,0.7634665211130524,0.7993588746067309
641,7 16 15 17 0 1 8 18 5 12 2 19 4 13 3 6 9 10 14 11,3.522836062891175e-05,0.0002814027637267892,0.00014472641678867063,0.00013041459354923168,1.5296984001444537e-06,6.49558242120999e-05,2.6302462959839095e-05,2.4645184520844627e-05,0.1930571383602942,1.1221059714178818,0.7371165717697798,0.7878677028822518
642,6 11 10 12 1 17 16 8 0 3 5 2 9 19 15 4 18 13 14 7,2.4183260783882203e-05,0.00030550782864379394,0.00014147163636115366,0.00012605188499225227,1.0488700167913144e-06,6.611430808322446e-05,2.3996890530338634e-05,2.193108861583385e-05,0.17821731511064132,1.1567472375619166,0.7189013054554725,0.7999004566411412
643,18 7 17 5 15 10 1 14 19 8 3 4 9 16 13 6 11 0 2 12,2.5576513467307427e-05,0.00029462599081084967,0.00013087648192362577,0.00013207938328900395,1.1016330477828635e-06,6.715101068609518e-05,2.116779273894637e-05,2.3898090354041534e-05,0.18536607403901761,1.5846912352400342,0.7491776071716612,0.7897145835947538
644,9 6 17 4 14 8 0 12 2 1 7 16 3 5 19 18 11 10 15 13,3.236717744982084e-05,0.0002779838395520528,0.00015463372058246517,0.00011902690009670836,1.415402498997723e-06,6.404007791884084e-05,2.4831404007195533e-05,2.2168412431093175e-05,0.18687014620107073,1.1355868233473385,0.7273800733703278,0.7860891219115319
