seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1
1011,2 5 0 6 1 3 8 7 9 4,0.00040218199136342217,0.007778934952176331,0.0015008912629396784,0.0024494426839740614,1.2653797646432155e-05,0.0021201703303205983,0.00014916719120152972,0.0005082598341998027,0.06407174292673042,0.6661116592010116,0.2319734794836685,0.418023937851701
10,8 2 5 6 3 1 0 7 4 9,0.0005275783196911258,0.007540972280753988,0.0014876449938831101,0.0023110651331115285,1.3724448502649764e-05,0.0019923935149469938,0.0001457322535547977,0.0004415655921048165,0.060415010635618695,0.6368804155913729,0.23025289543259622,0.39996829952377
511,1 8 2 0 6 7 4 3 9 5,0.000419236949182702,0.007499616562033365,0.001493505762742581,0.0025110589939054745,1.314005353442914e-05,0.0019943112005588047,0.0001407767540507256,0.0005033223241823274,0.0646985063056741,0.6253488820574026,0.21409098014492983,0.41882149140887087
521,3 5 8 6 1 4 0 9 7 2,0.00046261235793436064,0.007928614506500096,0.0019237296729249682,0.002355180765449129,1.6900078333873226e-05,0.002149467666611081,0.00022064953087154207,0.0004636034963104957,0.07343316620265024,0.6394044016554727,0.25375060045404324,0.39657732024343234
531,1 5 6 7 2 3 9 8 4 0,0.0004331315805385729,0.007667688875515868,0.0020488813784218366,0.0023533100877797366,1.5775269316284393e-05,0.0020706758888170396,0.0002368346351201385,0.0004726884973610069,0.07132526571490504,0.640562618279371,0.2666702889510251,0.41167098237245875
541,7 2 5 1 9 0 4 3 8 6,0.0005099332480715861,0.007761258235903597,0.0016386405996620425,0.002300314522474189,1.9053381071478408e-05,0.0020527284769044783,0.00017526471494305293,0.0004308174895869229,0.07707703779439104,0.6341897141797911,0.24100128490787978,0.41072617296943215
551,4 8 6 1 3 9 0 7 5 2,0.0005136316183714647,0.0078917071851664,0.0018427090275517717,0.0033469220498326983,1.549905913012557e-05,0.0020993459641370756,0.00020432219047547692,0.0006726357006963818,0.06715674311950075,0.6215059706959611,0.25242517828328137,0.45674075019604615
561,4 7 5 2 6 3 0 1 8 9,0.0004233844546743605,0.007788923027089998,0.0015882809786951658,0.0025768440610967284,1.4158574139560393e-05,0.0020852354964988346,0.00015100151886498524,0.0005065820753766078,0.06822935673387474,0.6451862346806536,0.22229142873165655,0.3921632843485289
571,3 4 5 7 0 2 6 8 1 9,0.00037041511588768467,0.007572827340468509,0.0015703722658669294,0.0020348834383064817,8.716018615509786e-06,0.002024543290537019,0.00014481866473153938,0.00036159055277136385,0.05220439348450991,0.6583059991739916,0.21831281878717226,0.3799991510827009
581,6 4 5 2 8 0 9 3 7 1,0.0003721744419062481,0.007457322241319021,0.0017870310989048447,0.0025337065494360806,1.1538693342057713e-05,0.0019481195902185118,0.0001697836406502116,0.0005249217465615727,0.06336871601607164,0.6371938496878956,0.22224255694224293,0.43705814101703316
451,1 7 2 6 8 3 9 0 4 5,0.0004425971596070737,0.007826107973566953,0.002152156536169559,0.002406417409260725,1.4165563117237953e-05,0.0020843783775338597,0.00019460548938076214,0.0004605432535200049,0.06631017767694122,0.6053171072473218,0.222597231030444,0.41129169778436936
452,1 2 6 8 5 9 4 3 7 0,0.0004192689354385293,0.007669621795180576,0.0015213092679885647,0.0027727600301050565,1.3337008850000386e-05,0.0021091721070051485,0.0001663459873395337,0.0005512426734459241,0.06539559030418705,0.6275148094584166,0.24272018899356718,0.43045495858637706
453,3 5 4 9 1 6 7 0 8 2,0.0003718258081129847,0.007741833782726809,0.001728294834490899,0.002369610962151358,1.1249391412035157e-05,0.0020714035779506815,0.00015819815066349342,0.00042997135538784244,0.06129973981402793,0.6295008218001589,0.21217475824875245,0.39508167095483887
454,3 1 6 2 4 8 5 7 0 9,0.00044772699862848163,0.008188365101114451,0.0020489676798950206,0.002684082438631553,1.506294495855542e-05,0.002158643851633167,0.00022029703260418917,0.0004949391572809565,0.06838223689437872,0.6334096279130469,0.23614480242273903,0.4070755370506324
455,1 4 2 7 6 3 8 9 0 5,0.0003803383908555272,0.008043455239023686,0.0017590021264289972,0.002343078172450942,1.2329046867310419e-05,0.0022133988027150477,0.00017727211816243732,0.0003980413293028763,0.06489819036856381,0.6258628914059821,0.22785122449670298,0.37827902261026014
456,0 2 1 3 6 7 8 9 4 5,0.0003895309698964863,0.00786785288408377,0.001743237983597849,0.0025380443547026715,1.1577948991596824e-05,0.0021499931987349727,0.00019481827901038967,0.000478057707291363,0.06178340898477876,0.6277045189907782,0.2500070448906142,0.40160013955321305
457,1 5 6 0 8 4 9 7 3 2,0.0003784796092149241,0.0075566430088715745,0.001454143954264802,0.0024465554477434547,1.1823079249089521e-05,0.002021301853326599,0.0001438881552890403,0.0004705495036550553,0.06434511324854733,0.6839927736935728,0.2272753774384396,0.4199737220242403
