seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1,gmm_rel_L1_median,kde_rel_L1_median,rnade_rel_L1_median,realnvp_rel_L1_median,gmm_rmse_median,kde_rmse_median,rnade_rmse_median,realnvp_rmse_median,gmm_ise_median,kde_ise_median,rnade_ise_median,realnvp_ise_median
818,1 8 2 3 0 7 6 9 4 5,23830.823170600408,23968.63748848388,23966.691750694114,23493.187127976395,1005.8823753908744,1144.2947258800716,1125.5004517062794,967.7667625198249,0.7224741192092008,0.9420941124474717,0.8547391459462483,0.5953137558951381,0.607838676306482,0.8759929544320284,0.6350658215982182,0.43841256354838454,0.035785199111414964,0.04831272563937176,0.03553107494430475,0.025176396073649725,0.015699741923217887,0.03370822711342392,0.01650196563505477,0.007829888920230801
819,3 2 6 7 0 5 8 9 4 1,25114.931785138655,25146.924049173933,25099.07795419395,24530.4224264069,1189.6184589788784,1244.386422575616,1146.4862182165243,1027.3657323549078,0.8031567154036691,1.129974032633218,0.6492788495354612,0.6334801111001866,0.6218972909101319,0.9079363259569737,0.5067975861644468,0.4250713498402082,0.030683753193872492,0.05041174617926395,0.026173118270426964,0.020223702458012475,0.013867635618950618,0.038762009301482284,0.01002826825940693,0.00608403866181123
820,4 0 8 2 5 6 7 9 3 1,39664.04921792657,39734.07265642304,39734.088624187476,38562.46251134175,1348.2417991446034,1477.6368318085888,1477.68891754122,1261.3987694727548,0.772283402745779,0.9943765120760105,1.037752934455222,0.5790160816960891,0.6180722470463818,0.8934783420315082,0.948359166818789,0.411552979675577,0.029754631496845214,0.04608375226535499,0.05459227317898243,0.019867285219916864,0.013744552734113543,0.03460976381604752,0.04827148265793479,0.006018915626879805
821,9 2 5 6 1 7 8 4 0 3,20140.16627606417,20291.944061979168,20291.530609556183,18310.11807622972,890.4608532140189,1010.014701605319,1002.9480377211449,647.2806611718856,0.7627088385809095,1.0182921859864762,0.8611098872927733,0.5289747391757361,0.6058387950269528,0.8993180903738096,0.7009945177836208,0.38681755290042064,0.02955461439820709,0.04681756353178392,0.03065289900065341,0.019233285510469697,0.013058309875529566,0.03557390778097924,0.01481202041833448,0.00558680404592613
822,8 2 1 7 3 9 0 5 4 6,50094.019737730494,50109.924461896866,50105.02085127137,49392.67691218548,1184.5287406975276,1247.7826036187976,1201.5443650756804,989.5095380800707,0.8584547627396192,1.0827484118284665,0.7694344005205243,0.6193857942065034,0.6385494988626255,0.8904920751144285,0.5433300053035035,0.46273928493157146,0.03135572345837885,0.04565597829672424,0.02748497875136381,0.02294312032150123,0.01501377691330048,0.03371625132253422,0.01180963823867279,0.007985155372994407
823,3 7 9 4 6 0 5 2 1 8,18887.6193187081,18990.9479748984,18988.960353892973,18444.97383704151,888.5342334213998,995.753401951072,974.8936140249785,799.9100074602043,0.7629602852328659,0.9701530971675564,0.7524107539005684,0.605084117987727,0.621365339694345,0.901898516445487,0.5633395313456546,0.44776163056974483,0.03287664002864821,0.04869686133023206,0.026002072240818574,0.022301895782134235,0.015645173040164426,0.03758729342784016,0.010323252217045295,0.007626155122540257
824,2 9 7 0 4 8 5 6 3 1,40367.19849624649,40400.39341692502,40347.38370549286,38912.414376227476,1255.3545667319495,1341.7477290723493,1211.4655439311775,1038.8169611299325,0.7434648142407959,0.911292749529634,0.6327082394116473,0.547778521949682,0.6055019612619316,0.8865899351973038,0.46739936827784423,0.40167655350371056,0.030191380693933876,0.04428014430576563,0.02398045192601324,0.019006627586846764,0.013422244461370223,0.032791463952103306,0.008545438810687629,0.005498751741757712
825,9 4 8 7 1 5 2 0 6 3,34140.666966268414,34216.5869066267,34216.37456321274,32478.083634609884,1458.37520162956,1583.5367326577646,1577.8580636830388,1348.7817277440317,0.7426890248361644,0.966793735228576,0.8478972200994367,0.5975875222568747,0.6105965405740671,0.8840382257997506,0.7088578880645495,0.4400679441950235,0.031294140523825946,0.04475374681190421,0.03162714824018511,0.021682635050216885,0.014430703254399428,0.03195813552164892,0.014909388823456122,0.006619117746537167
826,4 9 8 5 0 6 7 3 2 1,21591.885836196674,21717.173691018277,21414.541215772813,19815.355039923077,971.5463160661564,1103.908409936461,902.5059661202396,776.2367699929763,0.7512094999254837,0.9427419826403522,0.6196849535672997,0.6454709391835609,0.6036836062674489,0.8846289675391017,0.4554310497433002,0.4538742435057566,0.028357246192503766,0.044317292780744984,0.022992915580356925,0.022506888778003827,0.012201754513351273,0.031074443104385258,0.007945206552927058,0.007987329832717003
827,4 0 1 2 3 7 8 5 6 9,93253.50969795891,93262.08038741299,93252.76908672495,92702.58168682971,2236.067133214969,2297.5817340918593,2219.2672689324477,2061.375439569277,0.7970469029519825,1.089635194218312,0.6496970661101367,0.7029741721362267,0.6387097647510025,0.8997873286013531,0.5006806909728754,0.4723833354385387,0.030242899459860046,0.0461559058202029,0.02677321858875804,0.023497392468214678,0.014347405218798768,0.035751259778732544,0.010284262638662278,0.008493932345239099
828,0 9 7 5 2 6 4 3 8 1,124843.81926740406,124890.2078898557,124890.21331433988,124706.82752693693,2194.137556663273,2350.030174365533,2349.687214594472,2109.58565741687,0.7651012830684535,0.9480870431831782,1.0237610960214194,0.7285068035513483,0.6130684589791339,0.8947504281721874,0.8903655415661547,0.5141987308802465,0.029735176754076796,0.045115099581930454,0.0420537177541864,0.025596163457105213,0.01284020135272053,0.03373986286996659,0.03165654554909252,0.009617795551124315
829,4 3 8 1 5 9 7 6 0 2,40667.422822262495,40712.37088640429,40712.21220786187,38658.00827253472,1455.069473632586,1547.1753257606997,1541.9338198224343,1145.3820712265133,0.7840046344422393,1.0014097069445338,0.8330958376090579,0.5653212410282802,0.6208998800984531,0.891963713458105,0.6994023074839584,0.40715948466241314,0.03119140257232646,0.04350103306894536,0.03137023075953364,0.0215547124554353,0.014524928446483495,0.0312790541662804,0.014094496797712866,0.007010096158579424
830,5 2 0 8 6 7 1 9 4 3,58838.97782034005,58890.48395217892,58890.50126202375,58437.594360219024,1464.392840399589,1570.1997752401746,1570.32875822751,1362.9267952389353,0.8091265375534719,0.9256148666835614,1.1221630618829577,0.670246262528094,0.6059766046283992,0.8832196359454676,0.9577640909787664,0.49277832356886897,0.028244022885045704,0.04010163219626415,0.0527639804282435,0.024594368328064404,0.01221471133580114,0.028404262775300844,0.04720787693635374,0.009279296369511119
918,5 7 0 1 2 6 4 8 3 9,35847.09323187541,35935.04401597647,35933.15281968363,31744.483537012748,1245.762611924634,1376.1568193637215,1353.1645371077013,864.3903758387925,0.7834000227576133,0.9415177825401461,0.7753328388380285,0.587703529417579,0.619091739653077,0.9067313026408683,0.6179056001026466,0.42887226617401186,0.03361427316956309,0.05035516130290871,0.031213557059047443,0.02211907392755218,0.015923427926341664,0.039130120311078154,0.014048593746366255,0.007413532865671996
931,7 5 0 3 4 6 1 8 9 2,45504.14583383026,45570.875106799824,45511.803061745275,44515.85721794601,1578.546220704971,1698.8587441410727,1566.5216038404674,1404.4749811348147,0.7869591572946268,0.9545129245520863,0.6379416375110867,0.6176838154730407,0.6117110426787933,0.898666402865113,0.4762171249109349,0.45113648864648015,0.031049768439729883,0.04901501324125047,0.026997490395491052,0.02370628697580182,0.013158672444623317,0.036686594540357886,0.009623718369389866,0.007757642051082289
932,9 7 6 1 5 4 3 2 0 8,28256.39887902361,28306.210984572714,28305.721871960355,26672.815890833717,1214.0545284860723,1309.003739694246,1300.0537213088612,920.0290153773964,0.8040587702927342,0.9507567514104796,0.9019870022539901,0.6121365393305308,0.6075068705662343,0.8873853035179559,0.6806890292601508,0.43431696886631943,0.029241325525589303,0.04445272450186188,0.03294279067074584,0.023415874227489294,0.013438554328052571,0.032055670485719515,0.016441773516298955,0.00796740734081849
933,4 1 6 3 0 2 9 8 5 7,27346.640880298073,27434.042600115474,27372.678592490323,27040.027167873533,1223.0293119191062,1338.0911595217187,1232.3001536814124,1150.0558328996592,0.7367495819399497,0.9884748340931552,0.6643191175242947,0.6216855152130543,0.6130803170356762,0.8877103704709999,0.5048444713013713,0.4710282299331502,0.033935904110463176,0.047910800176350306,0.027461653871349585,0.023611779249553606,0.015220692604027763,0.03537768713421981,0.010334507515201662,0.008106095288343256
934,5 3 9 7 2 8 1 4 6 0,37351.50003503474,37718.99462480796,37718.921589340054,35978.38542600682,1358.2024545356105,1502.071136371962,1498.5610521020517,1198.276058683772,0.7835948581248009,0.9711474164477164,0.940631046134122,0.5958783136268039,0.6119219807566212,0.888002007199856,0.7638083066034094,0.4362878463637275,0.027691858339575156,0.04207795356664253,0.032952954870900414,0.022221836908779772,0.012039187234698661,0.031051883407800067,0.01790703770772295,0.0073753661366391735
