seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1,gmm_rel_L1_median,kde_rel_L1_median,rnade_rel_L1_median,realnvp_rel_L1_median,gmm_rmse_median,kde_rmse_median,rnade_rmse_median,realnvp_rmse_median,gmm_ise_median,kde_ise_median,rnade_ise_median,realnvp_ise_median
634,7 6 1 8 3 4 9 2 5 0,20614.20510256791,20852.827036373557,20852.269978584507,20284.623400334636,1064.1683125310371,1249.280304388929,1240.131277624879,1040.710082017256,0.7018158075146284,0.94078781531091,0.8320891037841808,0.6482918672633242,0.5438364546321988,0.8647814558610691,0.644548358650865,0.4801490687280102,0.029097305004302725,0.044789098842971914,0.031991135819669475,0.026093748136702004,0.01185388228405673,0.031218312830848693,0.014293296227182017,0.00955713582307065
634,7 6 1 8 3 4 9 2 5 0,20614.20510256791,20852.827036373557,20852.269978584507,20284.623400334636,1064.1683125310371,1249.280304388929,1240.131277624879,1040.710082017256,0.7018158075146284,0.94078781531091,0.8320891037841808,0.6482918672633242,0.5438364546321988,0.8647814558610691,0.644548358650865,0.4801490687280102,0.029097305004302725,0.044789098842971914,0.031991135819669475,0.026093748136702004,0.01185388228405673,0.031218312830848693,0.014293296227182017,0.00955713582307065
635,1 9 2 7 5 0 3 6 4 8,115161.8011303522,115268.37057716901,115252.19116970923,115055.44675630794,2233.8750363781364,2459.9475747821034,2345.9306234564156,2249.025880833247,0.67770642159688,0.9257773337059707,0.6407763807066444,0.5936163334880057,0.5355777371724415,0.8649600430388,0.49068614802270566,0.44498700006152725,0.02731355527334079,0.043216414336131735,0.02627299137182977,0.021969864304634507,0.0112769853328805,0.029937086918030896,0.010175924813651096,0.00738167466532988
636,1 8 6 2 7 5 3 9 4 0,25582.30970632217,25725.650097913556,25725.560206908947,24122.114892772035,1061.5353491095339,1210.9324168428307,1207.651154225614,911.4887833204526,0.7179950884495198,0.9050510045208643,0.9563314588239479,0.5698097605035887,0.5360056917835461,0.8709619518794219,0.7467078770367974,0.4073011196225549,0.023533819987780154,0.041901779465102026,0.031114530798321053,0.019055279902346824,0.009071589732586401,0.029636963103920888,0.01651286961549669,0.005652207730935149
637,9 0 4 1 2 7 5 6 8 3,24978.396849493944,25294.20367987443,25292.483245233077,23869.511372319765,1001.732592421804,1226.7251197040641,1208.31612204615,969.1829911216039,0.7020500023260168,0.854945830560198,0.7301920781201472,0.6208144704505026,0.5447931427044675,0.863563674370784,0.574079372137789,0.45314444834400047,0.026635964321834238,0.042664252419690074,0.02769909916360755,0.024267405353078506,0.010599402994633463,0.029103729779106607,0.011257132801841402,0.008269792384533205
5000,6 4 7 0 3 9 5 8 1 2,25653.803664457457,26012.54592020858,26010.021448935575,24318.853322443996,960.6197727483637,1164.0046549011158,1139.025303679373,791.2903436896149,0.6846197583534585,1.1447539388527217,0.7288746961233659,0.5507446111083987,0.5436007355349626,0.8600740887480148,0.5724528531074154,0.406497626771081,0.02444277216856045,0.039161255400913864,0.02622886763388533,0.0201818499945846,0.009655104962027514,0.02660434167535531,0.010625353018280617,0.0060428886808320745
638,9 3 5 2 1 0 6 8 7 4,61938.49015004764,62103.62529393978,62074.14562045683,59267.82036877827,1314.6537303085165,1525.196420094341,1412.8103536781994,1086.104771223509,0.6837534024984186,0.874542028400439,0.6997955715635774,0.5561543234921995,0.5427416257385684,0.8758598714005061,0.5119346920661428,0.3960325402126569,0.027278393550501233,0.04862927398968447,0.02838703017341955,0.020239183846511653,0.010929560033089328,0.03470650313569622,0.010861811603407727,0.005664111612345507
639,7 3 4 0 5 9 8 2 1 6,27892.190210811186,28165.86959858273,28165.669073473808,27136.872892719246,957.5932148152046,1164.7310625897628,1158.7961288088798,908.9325499360626,0.731784772304805,0.963595102162947,0.8642597884488907,0.6381315967806928,0.5424451065565372,0.8647702688336414,0.6881249190703234,0.4449984337628878,0.022699059307699318,0.03812264345466092,0.028530977439873102,0.021811547461545986,0.00928545903450134,0.02685930857442692,0.014189334250531448,0.0077302334078810896
640,5 7 2 4 9 0 8 6 3 1,35385.2632665138,35486.21024309067,35485.52866716774,34646.272196177575,1311.8971450700628,1474.9183904695035,1461.8959542371158,1176.7872973781693,0.7280637536958735,0.9383766070802685,0.8678205524141034,0.5759159912289978,0.541971712808883,0.8655286827696821,0.6065435516555054,0.3988025436259979,0.026672949725640535,0.04326540949384783,0.028561204491928758,0.019010889681399766,0.010712791578490031,0.029768805164511462,0.011703916805445538,0.005277744261266966
641,1 0 2 7 4 9 5 3 6 8,34186.548950310476,34350.896096965,34350.71272949817,32840.8350794602,1122.7656874149195,1311.2988785434973,1304.7445568650476,1012.7847292573666,1.8470360673625168,2.760931405547897,3.0336670044779637,0.6034112380232309,0.5329967816649726,0.8579504950207464,0.6884777206625889,0.46279684581169017,0.027925924936047463,0.045910757654835155,0.0347712658276455,0.023927839863473237,0.011090666851408396,0.03151623120707081,0.016585077311040905,0.007842926423026371
642,2 0 1 8 9 6 4 5 3 7,31917.081573126765,32040.676172213556,32037.182651747393,30070.28308142241,1202.2403727116082,1349.5420281333802,1317.9335538260777,903.7738618215438,0.7348040233724107,0.919211866368371,0.7088199642354037,0.5129973865741198,0.5501870867423071,0.8756543854797283,0.5524490812591774,0.3742719086299905,0.027462808744662507,0.048289851861988274,0.02796237639486712,0.01964139187158065,0.010435547248249964,0.03547109447354159,0.010842085863472115,0.005425428212712876
643,5 6 8 9 1 0 7 4 3 2,21839.977003487325,21963.311858948317,21767.448171010095,20253.201889670203,996.718010292605,1130.2984258598442,961.5686621017823,755.7109636186493,0.7035018890950808,0.9516525407876665,0.5911571633598074,0.6074575351631087,0.5708515905847804,0.8796285826907617,0.43536425935558454,0.44696202781823835,0.02959072439749814,0.049078028687665774,0.024208369707651462,0.02356272190023423,0.013222098474401835,0.03553910233832186,0.007967516456785544,0.00809020719610074
644,8 0 6 1 2 4 7 3 9 5,102907.41123449436,102980.75829456541,102980.14828891103,102771.14779270858,2297.143241952747,2462.1378299138864,2437.6774222462273,2313.237233269813,0.6880772565591987,0.9800308271536369,0.7545389764671813,0.6103715168941951,0.5370538578034041,0.8670887635845714,0.5676682362628944,0.4613456810784461,0.02500555913967922,0.04026658075487084,0.027015229720293778,0.021575687740397278,0.010105614778472287,0.027956238930018244,0.011313936961707143,0.007205558992470393
645,9 8 6 3 4 2 7 0 1 5,38586.621070791116,38848.90568062656,38848.9167389561,37663.9324310763,1106.9177291589913,1325.1302698920988,1324.3523846316828,1019.460357009877,0.6919713484161535,0.8968869083808065,1.1480894562023058,0.5656036270738385,0.5354863750794163,0.8698619110668955,0.8324282478496086,0.39347323397546563,0.025415748140815833,0.042223907718753964,0.036978730170074456,0.017269611331177364,0.00934969557830671,0.02985274317501383,0.024181963697360007,0.00482789172239001
646,7 9 6 2 5 0 8 4 1 3,53994.10475372794,54060.517884765286,54060.499821108286,50385.565676369355,1446.871478936771,1583.6998981629442,1581.5451808237556,1020.3117401133392,0.6702494604853623,0.8989518706748751,0.9077888356131941,0.5959941275137589,0.56470694500768,0.8872217689386188,0.7740532272854457,0.42230514390032636,0.0272844034619384,0.046032542452422505,0.035601276992797214,0.023222047271508624,0.011373302250229934,0.03351809582337746,0.02023815643383619,0.008074805128559397
